time,Despicable Me Minion Mayhem,ET Adventure,Fast & Furious - Supercharged,Harry Potter and the Escape from Gringotts,Hogwarts Express,Hollywood Rip Ride Rockit,MEN IN BLACK Alien Attack,Race Through New York Starring Jimmy Fallon,Revenge of the Mummy,TRANSFORMERS - The Ride 3D,The Simpsons Ride
16:40:00,53.10344828,34.64285714,37.38636364,91.27777778,53.66666667,61.39344262,41.91860465,26.97802198,46.94915254,49.38202247,38.35164835
16:45:00,53.05555556,35,37.44444444,90.86021505,53.31521739,63.30645161,40.8988764,26.50537634,47.13114754,48.55555556,38.22580645
16:50:00,52.27777778,34.36781609,37.11111111,90.48387097,53.36956522,60.40983607,40.95505618,26.39784946,45.59322034,47.83333333,37.01086957
16:55:00,52,33.125,37.11111111,86.82795699,52.93478261,61.08333333,41.16666667,26.4516129,45.68965517,47.11111111,36.68478261
17:00:00,51.91011236,32.4137931,36.91011236,85.59139785,52.66304348,61.53225806,41.17977528,25.48387097,46.20689655,47.72222222,35.70652174
17:05:00,52.4137931,32.12643678,35.11363636,85.43478261,52.66304348,63.30645161,40.84269663,25.75268817,45.34482759,46.91011236,34.89010989
17:10:00,51.29213483,31.20689655,34.43181818,84.56989247,52.39130435,67.15384615,39.54022989,25.43010753,44.05172414,45.97701149,34.83516484
17:15:00,50.2247191,30.29069767,34.65517241,84.35483871,52.06521739,65.9375,39.70930233,25.96774194,44.21052632,45.64705882,34.51086957
17:20:00,49.60227273,30.46511628,33.19767442,82.01086957,51.42857143,65.76923077,39.41860465,25.54347826,43.90909091,44.7752809,34.45054945
17:25:00,49.72222222,30.40697674,32.03488372,80.10752688,49.7826087,64.23076923,39.25287356,25.10752688,43.54545455,45.28089888,34.83695652
17:30:00,48.42391304,29.1954023,32.35632184,79.89247312,48.75,63.18181818,38.57954545,23.8172043,41.96428571,44.94382022,35.2173913
